Image_ID,Degradation,AFLB,alpha,beta,mask_area_pct
H028,Haze,AFLB1,0.4930420815944672,0.5089230537414551,0
H028,Haze,AFLB2,0.4900292158126831,0.4946485459804535,0
H028,Haze,AFLB3,0.496760755777359,0.4970879554748535,0
H029,Haze,AFLB1,0.4920068085193634,0.5102279186248779,0
H029,Haze,AFLB2,0.4883973896503448,0.4938625991344452,0
H029,Haze,AFLB3,0.4960663020610809,0.4965994656085968,0
H030,Haze,AFLB1,0.4938179552555084,0.507780134677887,0
H030,Haze,AFLB2,0.4912717044353485,0.4953651130199432,0
H030,Haze,AFLB3,0.4970138072967529,0.4974435865879059,0
H031,Haze,AFLB1,0.4938828349113464,0.507634162902832,0
H031,Haze,AFLB2,0.4914793074131012,0.4954869449138641,0
H031,Haze,AFLB3,0.4969562292098999,0.4974784553050995,0
H032,Haze,AFLB1,0.4928505420684814,0.5090305805206299,0
H032,Haze,AFLB2,0.489654541015625,0.4949093759059906,0
H032,Haze,AFLB3,0.4961594641208649,0.4969937205314636,0
H033,Haze,AFLB1,0.4938649237155914,0.5076775550842285,0
H033,Haze,AFLB2,0.4913880228996277,0.4954800605773926,0
H033,Haze,AFLB3,0.4970318973064423,0.4974801540374756,0
H034,Haze,AFLB1,0.4940309524536133,0.5075020790100098,0
H034,Haze,AFLB2,0.4916901588439941,0.495556503534317,0
H034,Haze,AFLB3,0.4971430003643036,0.4975394606590271,0
H035,Haze,AFLB1,0.4930766224861145,0.5087968707084656,0
H035,Haze,AFLB2,0.4901508390903473,0.4947843849658966,0
H035,Haze,AFLB3,0.4966503381729126,0.4971077144145966,0
H036,Haze,AFLB1,0.4940372407436371,0.5076131224632263,0
H036,Haze,AFLB2,0.4915842413902283,0.4955333173274994,0
H036,Haze,AFLB3,0.4971682727336884,0.4975309073925018,0
H037,Haze,AFLB1,0.4936232566833496,0.5081748366355896,0
H037,Haze,AFLB2,0.4909888803958893,0.4950031340122223,0
H037,Haze,AFLB3,0.4971016347408295,0.4973362982273102,0
H038,Haze,AFLB1,0.4943186938762665,0.5070672035217285,0
H038,Haze,AFLB2,0.4920138716697693,0.4959462285041809,0
H038,Haze,AFLB3,0.4971349835395813,0.4976839423179626,0
H039,Haze,AFLB1,0.4937834143638611,0.5077705383300781,0
H039,Haze,AFLB2,0.4912320673465729,0.4953519403934479,0
H039,Haze,AFLB3,0.4970307052135468,0.4974419772624969,0
H040,Haze,AFLB1,0.493124395608902,0.5086821913719177,0
H040,Haze,AFLB2,0.4901867508888245,0.4950856268405914,0
H040,Haze,AFLB3,0.4963817298412323,0.497119665145874,0
