Image_ID,Degradation,AFLB,fft_energy,low_energy,high_energy,low_pct,high_pct
H081,Haze,AFLB2,10.83523654937744,0,10.83523654937744,0,100
H081,Haze,AFLB3,2.144252061843872,0,2.144252061843872,0,100
H082,Haze,AFLB1,8.317354202270508,0,8.317354202270508,0,100
H082,Haze,AFLB2,11.26498222351074,0,11.26498222351074,0,100
H082,Haze,AFLB3,2.18280816078186,0,2.18280816078186,0,100
H083,Haze,AFLB1,9.424055099487305,0,9.424055099487305,0,100
H083,Haze,AFLB2,13.39715099334717,0,13.39715099334717,0,100
H083,Haze,AFLB3,2.631157159805298,0,2.631157159805298,0,100
H084,Haze,AFLB1,10.79191398620605,0,10.79191398620605,0,100
H084,Haze,AFLB2,14.69212245941162,0,14.69212245941162,0,100
H084,Haze,AFLB3,2.843037128448486,0,2.843037128448486,0,100
H085,Haze,AFLB1,8.52674388885498,0,8.52674388885498,0,100
H085,Haze,AFLB2,11.70841979980469,0,11.70841979980469,0,100
H085,Haze,AFLB3,2.287010669708252,0,2.287010669708252,0,100
H086,Haze,AFLB1,9.490161895751953,0,9.490161895751953,0,100
H086,Haze,AFLB2,12.9692211151123,0,12.9692211151123,0,100
H086,Haze,AFLB3,2.518739938735962,0,2.518739938735962,0,100
H087,Haze,AFLB1,7.842081069946289,0,7.842081069946289,0,100
H087,Haze,AFLB2,10.26341342926025,0,10.26341342926025,0,100
H087,Haze,AFLB3,1.968039035797119,0,1.968039035797119,0,100
H088,Haze,AFLB1,8.134015083312988,0,8.134015083312988,0,100
H088,Haze,AFLB2,10.32404518127441,0,10.32404518127441,0,100
H088,Haze,AFLB3,1.947744131088257,0,1.947744131088257,0,100
H089,Haze,AFLB1,6.220847129821777,0,6.220847129821777,0,100
H089,Haze,AFLB2,8.973119735717773,0,8.973119735717773,0,100
H089,Haze,AFLB3,1.785972356796265,0,1.785972356796265,0,100
H090,Haze,AFLB1,7.845590591430664,0,7.845590591430664,0,100
H090,Haze,AFLB2,10.06357192993164,0,10.06357192993164,0,100
H090,Haze,AFLB3,1.896952867507935,0,1.896952867507935,0,100
H091,Haze,AFLB1,9.453168869018555,0,9.453168869018555,0,100
H091,Haze,AFLB2,13.29161548614502,0,13.29161548614502,0,100
H091,Haze,AFLB3,2.601308345794678,0,2.601308345794678,0,100
H092,Haze,AFLB1,2.277047872543335,0,2.277047872543335,0,100
H092,Haze,AFLB2,3.011021375656128,0,3.011021375656128,0,100
H092,Haze,AFLB3,0.5777140259742737,0,0.5777140259742737,0,100
H093,Haze,AFLB1,6.484471321105957,0,6.484471321105957,0,100
H093,Haze,AFLB2,8.629074096679688,0,8.629074096679688,0,100
H093,Haze,AFLB3,1.671869158744812,0,1.671869158744812,0,100
H094,Haze,AFLB1,10.98110389709473,0,10.98110389709473,0,100
H094,Haze,AFLB2,15.1447582244873,0,15.1447582244873,0,100
H094,Haze,AFLB3,2.941121578216553,0,2.941121578216553,0,100
H095,Haze,AFLB1,11.53247547149658,0,11.53247547149658,0,100
H095,Haze,AFLB2,16.00768661499023,0,16.00768661499023,0,100
H095,Haze,AFLB3,3.116123676300049,0,3.116123676300049,0,100
H096,Haze,AFLB1,9.197832107543945,0,9.197832107543945,0,100
H096,Haze,AFLB2,12.4274959564209,0,12.4274959564209,0,100
H096,Haze,AFLB3,2.403929948806763,0,2.403929948806763,0,100
H097,Haze,AFLB1,7.063231468200684,0,7.063231468200684,0,100
H097,Haze,AFLB2,9.639483451843262,0,9.639483451843262,0,100
H097,Haze,AFLB3,1.87304413318634,0,1.87304413318634,0,100
H098,Haze,AFLB1,7.706161022186279,0,7.706161022186279,0,100
H098,Haze,AFLB2,11.00021743774414,0,11.00021743774414,0,100
H098,Haze,AFLB3,2.172347068786621,0,2.172347068786621,0,100
H099,Haze,AFLB1,7.963438034057617,0,7.963438034057617,0,100
H099,Haze,AFLB2,12.32083797454834,0,12.32083797454834,0,100
H099,Haze,AFLB3,2.524835348129272,0,2.524835348129272,0,100
H100,Haze,AFLB1,6.04188060760498,0,6.04188060760498,0,100
H100,Haze,AFLB2,8.470714569091797,0,8.470714569091797,0,100
H100,Haze,AFLB3,1.661849617958069,0,1.661849617958069,0,100
N001,Noise,AFLB1,4.236016750335693,0,4.236016750335693,0,100
N001,Noise,AFLB2,5.12016773223877,0,5.12016773223877,0,100
N001,Noise,AFLB3,1.00281822681427,0,1.00281822681427,0,100
N002,Noise,AFLB1,9.806779861450195,0,9.806779861450195,0,100
N002,Noise,AFLB2,12.15891456604004,0,12.15891456604004,0,100
N002,Noise,AFLB3,2.291802644729614,0,2.291802644729614,0,100
N003,Noise,AFLB1,3.968709945678711,0,3.968709945678711,0,100
N003,Noise,AFLB2,6.508395195007324,0,6.508395195007324,0,100
N003,Noise,AFLB3,1.446641206741333,0,1.446641206741333,0,100
N004,Noise,AFLB1,2.34450888633728,0,2.34450888633728,0,100
N004,Noise,AFLB2,3.754857063293457,0,3.754857063293457,0,100
N004,Noise,AFLB3,0.8093578219413757,0,0.8093578219413757,0,100
N005,Noise,AFLB1,12.63299465179443,0,12.63299465179443,0,100
N005,Noise,AFLB2,15.70011425018311,0,15.70011425018311,0,100
N005,Noise,AFLB3,2.950171709060669,0,2.950171709060669,0,100
N006,Noise,AFLB1,8.029823303222656,0,8.029823303222656,0,100
N006,Noise,AFLB2,12.98366165161133,0,12.98366165161133,0,100
N006,Noise,AFLB3,2.731449127197266,0,2.731449127197266,0,100
N007,Noise,AFLB1,3.302381277084351,0,3.302381277084351,0,100
N007,Noise,AFLB2,3.523122787475586,0,3.523122787475586,0,100
N007,Noise,AFLB3,0.6502882242202759,0,0.6502882242202759,0,100
N008,Noise,AFLB1,2.720187664031982,0,2.720187664031982,0,100
N008,Noise,AFLB2,2.962293148040771,0,2.962293148040771,0,100
N008,Noise,AFLB3,0.5696310997009277,0,0.5696310997009277,0,100
N009,Noise,AFLB1,2.668183326721191,0,2.668183326721191,0,100
N009,Noise,AFLB2,2.951767444610596,0,2.951767444610596,0,100
N009,Noise,AFLB3,0.5471116304397583,0,0.5471116304397583,0,100
N010,Noise,AFLB1,4.109087944030762,0,4.109087944030762,0,100
N010,Noise,AFLB2,4.872166633605957,0,4.872166633605957,0,100
N010,Noise,AFLB3,0.9187591671943665,0,0.9187591671943665,0,100
N011,Noise,AFLB1,4.930850982666016,0,4.930850982666016,0,100
N011,Noise,AFLB2,6.818813323974609,0,6.818813323974609,0,100
N011,Noise,AFLB3,1.370473027229309,0,1.370473027229309,0,100
N012,Noise,AFLB1,6.443497657775879,0,6.443497657775879,0,100
N012,Noise,AFLB2,5.768824100494385,0,5.768824100494385,0,100
N012,Noise,AFLB3,0.9197659492492676,0,0.9197659492492676,0,100
N013,Noise,AFLB1,5.420098304748535,0,5.420098304748535,0,100
N013,Noise,AFLB2,7.144367694854736,0,7.144367694854736,0,100
N013,Noise,AFLB3,1.380719542503357,0,1.380719542503357,0,100
N014,Noise,AFLB1,2.49289345741272,0,2.49289345741272,0,100
N014,Noise,AFLB2,4.125162124633789,0,4.125162124633789,0,100
N014,Noise,AFLB3,0.9178224802017212,0,0.9178224802017212,0,100
N015,Noise,AFLB1,5.070284366607666,0,5.070284366607666,0,100
N015,Noise,AFLB2,5.362025737762451,0,5.362025737762451,0,100
N015,Noise,AFLB3,0.9549247026443481,0,0.9549247026443481,0,100
N016,Noise,AFLB1,4.525880813598633,0,4.525880813598633,0,100
N016,Noise,AFLB2,5.538186550140381,0,5.538186550140381,0,100
N016,Noise,AFLB3,1.111492276191711,0,1.111492276191711,0,100
N017,Noise,AFLB1,1.46945858001709,0,1.46945858001709,0,100
N017,Noise,AFLB2,3.068509578704834,0,3.068509578704834,0,100
N017,Noise,AFLB3,0.7341500520706177,0,0.7341500520706177,0,100
N018,Noise,AFLB1,1.727401375770569,0,1.727401375770569,0,100
N018,Noise,AFLB2,4.654267311096191,0,4.654267311096191,0,100
N018,Noise,AFLB3,1.124780774116516,0,1.124780774116516,0,100
N019,Noise,AFLB1,7.667144775390625,0,7.667144775390625,0,100
N019,Noise,AFLB2,7.847890377044678,0,7.847890377044678,0,100
N019,Noise,AFLB3,1.394000649452209,0,1.394000649452209,0,100
N020,Noise,AFLB1,2.20257830619812,0,2.20257830619812,0,100
N020,Noise,AFLB2,5.702427387237549,0,5.702427387237549,0,100
N020,Noise,AFLB3,1.526246070861816,0,1.526246070861816,0,100
N021,Noise,AFLB1,7.419844627380371,0,7.419844627380371,0,100
N021,Noise,AFLB2,7.821589469909668,0,7.821589469909668,0,100
N021,Noise,AFLB3,1.416862607002258,0,1.416862607002258,0,100
N022,Noise,AFLB1,8.040138244628906,0,8.040138244628906,0,100
N022,Noise,AFLB2,6.754619598388672,0,6.754619598388672,0,100
N022,Noise,AFLB3,1.027106761932373,0,1.027106761932373,0,100
N023,Noise,AFLB1,9.402923583984375,0,9.402923583984375,0,100
N023,Noise,AFLB2,11.52942085266113,0,11.52942085266113,0,100
N023,Noise,AFLB3,2.187493085861206,0,2.187493085861206,0,100
N024,Noise,AFLB1,6.413885116577148,0,6.413885116577148,0,100
N024,Noise,AFLB2,6.074685573577881,0,6.074685573577881,0,100
N024,Noise,AFLB3,1.002778768539429,0,1.002778768539429,0,100
N025,Noise,AFLB1,5.82600212097168,0,5.82600212097168,0,100
N025,Noise,AFLB2,5.123292922973633,0,5.123292922973633,0,100
N025,Noise,AFLB3,0.8086804747581482,0,0.8086804747581482,0,100
N026,Noise,AFLB1,6.062423706054688,0,6.062423706054688,0,100
N026,Noise,AFLB2,6.549666881561279,0,6.549666881561279,0,100
N026,Noise,AFLB3,1.181721687316895,0,1.181721687316895,0,100
N027,Noise,AFLB1,4.525798320770264,0,4.525798320770264,0,100
N027,Noise,AFLB2,3.989955902099609,0,3.989955902099609,0,100
N027,Noise,AFLB3,0.6425409317016602,0,0.6425409317016602,0,100
N028,Noise,AFLB1,6.781657218933105,0,6.781657218933105,0,100
N028,Noise,AFLB2,9.570578575134277,0,9.570578575134277,0,100
N028,Noise,AFLB3,1.887340307235718,0,1.887340307235718,0,100
N029,Noise,AFLB1,3.772667169570923,0,3.772667169570923,0,100
N029,Noise,AFLB2,6.16169261932373,0,6.16169261932373,0,100
N029,Noise,AFLB3,1.369918584823608,0,1.369918584823608,0,100
N030,Noise,AFLB1,8.362102508544922,0,8.362102508544922,0,100
N030,Noise,AFLB2,7.391227722167969,0,7.391227722167969,0,100
N030,Noise,AFLB3,1.172471404075623,0,1.172471404075623,0,100
N031,Noise,AFLB1,6.177496910095215,0,6.177496910095215,0,100
N031,Noise,AFLB2,5.57302188873291,0,5.57302188873291,0,100
N031,Noise,AFLB3,0.9119600057601929,0,0.9119600057601929,0,100
N032,Noise,AFLB1,5.745264530181885,0,5.745264530181885,0,100
N032,Noise,AFLB2,5.893783569335938,0,5.893783569335938,0,100
N032,Noise,AFLB3,1.03994607925415,0,1.03994607925415,0,100
N033,Noise,AFLB1,5.60266637802124,0,5.60266637802124,0,100
N033,Noise,AFLB2,7.814825534820557,0,7.814825534820557,0,100
N033,Noise,AFLB3,1.589401483535767,0,1.589401483535767,0,100
N034,Noise,AFLB1,10.8073558807373,0,10.8073558807373,0,100
N034,Noise,AFLB2,10.84717178344727,0,10.84717178344727,0,100
N034,Noise,AFLB3,1.836336135864258,0,1.836336135864258,0,100
N035,Noise,AFLB1,3.063576698303223,0,3.063576698303223,0,100
N035,Noise,AFLB2,3.854231357574463,0,3.854231357574463,0,100
N035,Noise,AFLB3,0.7657874226570129,0,0.7657874226570129,0,100
N036,Noise,AFLB1,7.191101551055908,0,7.191101551055908,0,100
N036,Noise,AFLB2,7.820775985717773,0,7.820775985717773,0,100
N036,Noise,AFLB3,1.376967430114746,0,1.376967430114746,0,100
N037,Noise,AFLB1,6.951735973358154,0,6.951735973358154,0,100
N037,Noise,AFLB2,8.793495178222656,0,8.793495178222656,0,100
N037,Noise,AFLB3,1.667536616325378,0,1.667536616325378,0,100
N038,Noise,AFLB1,4.05315637588501,0,4.05315637588501,0,100
N038,Noise,AFLB2,4.243917465209961,0,4.243917465209961,0,100
N038,Noise,AFLB3,0.7778767347335815,0,0.7778767347335815,0,100
N039,Noise,AFLB1,4.309825420379639,0,4.309825420379639,0,100
N039,Noise,AFLB2,5.233123302459717,0,5.233123302459717,0,100
N039,Noise,AFLB3,1.035272121429443,0,1.035272121429443,0,100
N040,Noise,AFLB1,5.519911289215088,0,5.519911289215088,0,100
N040,Noise,AFLB2,7.499682426452637,0,7.499682426452637,0,100
N040,Noise,AFLB3,1.494696497917175,0,1.494696497917175,0,100
N041,Noise,AFLB1,5.991804122924805,0,5.991804122924805,0,100
N041,Noise,AFLB2,5.541901588439941,0,5.541901588439941,0,100
N041,Noise,AFLB3,0.9209467768669128,0,0.9209467768669128,0,100
