Image_ID,Degradation,AFLB,hl_mean,hl_std,lh_mean,lh_std,agg_energy,cross_agg_energy,aflb_out_mean,aflb_out_std,aflb_out_energy
R034,Rain,AFLB3,0.4999211728572845,5.00135611218866e-05,0.4999873638153076,9.10094240680337e-05,39.62581634521484,5.773388238594634e-07,0.000979416654445231,0.009828233160078526,359.6209716796875
R035,Rain,AFLB1,0.00794592872262001,0.01902385801076889,0.08130896091461182,0.2689821124076843,32068.666015625,233.804443359375,-0.001260657794773579,0.03244797512888908,971.7905883789062
R035,Rain,AFLB2,0.01907088048756123,0.02152243070304394,0.02392127923667431,0.1273282170295715,19132.267578125,2300.2294921875,-0.00124022935051471,0.03284871578216553,1991.718627929688
R035,Rain,AFLB3,0.4999263882637024,6.021762237651274e-05,0.4999880790710449,8.457528747385368e-05,39.81575775146484,6.773800578230293e-07,0.0006523103220388293,0.00996685866266489,367.7691650390625
R036,Rain,AFLB1,0.003431172342970967,0.01095001865178347,0.08097667992115021,0.2701109647750854,32044.130859375,243.6010437011719,-0.0005705943913199008,0.03098263405263424,884.9656372070312
R036,Rain,AFLB2,0.05743815749883652,0.03689669445157051,0.02306971698999405,0.1268389523029327,19312.88671875,3823.32373046875,-0.00141526514198631,0.03154747933149338,1838.124755859375
R036,Rain,AFLB3,0.4999232888221741,4.682724102167413e-05,0.4999891221523285,7.599674427183345e-05,39.6257438659668,6.226869686543068e-07,0.0007793040131218731,0.00909342523664236,307.0686645507812
R037,Rain,AFLB1,0.01126623991876841,0.02235689759254456,0.08068517595529556,0.271815150976181,49640.6484375,264.9936218261719,0.0002770565624814481,0.03324808552861214,1018.839782714844
R037,Rain,AFLB2,0.0312325693666935,0.030808474868536,0.02347896993160248,0.1274224817752838,21309.666015625,2811.358642578125,-0.001333906664513052,0.03345854207873344,2066.6943359375
R037,Rain,AFLB3,0.4999268651008606,4.453286601346917e-05,0.4999890327453613,7.601938705192879e-05,39.66368103027344,5.893068077966745e-07,0.0009216425241902471,0.01070462353527546,425.5520629882812
R038,Rain,AFLB1,0.00451872032135725,0.01107058394700289,0.08072579652070999,0.2713969349861145,55451.5859375,206.0004119873047,0.0001106454365071841,0.0350860171020031,1134.527221679688
R038,Rain,AFLB2,0.03488510474562645,0.03120857663452625,0.02148907817900181,0.126762717962265,15644.3017578125,1886.6298828125,-0.001176519901491702,0.03629777953028679,2431.0205078125
R038,Rain,AFLB3,0.4999260604381561,4.283209273125976e-05,0.4999897181987762,7.071406434988603e-05,39.73932266235352,6.669761205557734e-07,0.0008993283845484257,0.01024352759122849,389.794921875
R039,Rain,AFLB1,0.009491048753261566,0.02323422208428383,0.08081022650003433,0.270895779132843,31702.513671875,203.0520172119141,-0.00113542506005615,0.03201121836900711,945.568359375
R039,Rain,AFLB2,0.04850136861205101,0.03232510015368462,0.02230091579258442,0.1277740746736526,19856.2421875,3374.365478515625,-0.002375297481194139,0.03197290003299713,1894.640502929688
R039,Rain,AFLB3,0.4999190270900726,4.786024146596901e-05,0.4999889135360718,8.261772018158808e-05,39.46399307250977,6.709087188028207e-07,0.001060281647369266,0.009358691051602364,327.0179748535156
R040,Rain,AFLB1,0.002559389919042587,0.009557581506669521,0.08079895377159119,0.2708878219127655,50843.1796875,260.3320007324219,-0.001010980224236846,0.03281951323151588,993.6161499023438
R040,Rain,AFLB2,0.04720864072442055,0.03695982322096825,0.02150150574743748,0.1279312968254089,25347.6953125,5606.1484375,-0.001626086770556867,0.0326189398765564,1966.029541015625
R040,Rain,AFLB3,0.4999250173568726,4.408994573168457e-05,0.4999879896640778,8.588254422647879e-05,39.60100936889648,5.970104552943667e-07,0.0009404055308550596,0.009790605865418911,356.6234741210938
R041,Rain,AFLB1,0.002178661525249481,0.01216052938252687,0.08072396367788315,0.2715224921703339,34961.875,186.7024536132812,-0.000935447751544416,0.03453094139695168,1099.709228515625
R041,Rain,AFLB2,0.03281626477837563,0.02843170613050461,0.02168537676334381,0.1281870156526566,21995.009765625,3669.61669921875,-0.001360645052045584,0.03333638608455658,2051.787841796875
R041,Rain,AFLB3,0.4999246299266815,5.105475429445505e-05,0.4999875128269196,9.031204535858706e-05,39.65336227416992,6.279009312493145e-07,0.001219906844198704,0.009840148501098156,362.4346008300781
R042,Rain,AFLB1,0.002181893447414041,0.007509574759751558,0.08082106709480286,0.270826518535614,45902.2734375,302.0265197753906,-0.001084879506379366,0.03470923379063606,1111.36474609375
R042,Rain,AFLB2,0.0442391112446785,0.03766843304038048,0.02397098205983639,0.127515584230423,20207.5625,2944.414306640625,-0.00225248490460217,0.03233348205685616,1936.33251953125
R042,Rain,AFLB3,0.4999220669269562,5.589946886175312e-05,0.4999879598617554,8.512210479239002e-05,39.74402618408203,5.180499442758446e-07,0.001166625646874309,0.0102244233712554,390.3891906738281
R043,Rain,AFLB1,0.003317546099424362,0.01088736299425364,0.08102744072675705,0.2695609927177429,42295.8046875,418.8589172363281,0.0001454928133171052,0.03592900931835175,1189.706909179688
R043,Rain,AFLB2,0.02195992320775986,0.02312019094824791,0.02132865786552429,0.1289584785699844,23647.443359375,3256.22802734375,-0.00207868660800159,0.03558262437582016,2341.682373046875
R043,Rain,AFLB3,0.4999278783798218,5.065169898443855e-05,0.4999897181987762,7.639766408829018e-05,39.84580230712891,6.879959073557984e-07,0.0004789720114786178,0.01059652119874954,414.7777709960938
R044,Rain,AFLB1,0.001754299621097744,0.007451459299772978,0.08089757710695267,0.2704037427902222,36994.26953125,341.7374267578125,-0.0002170167572330683,0.03561189025640488,1168.822631835938
R044,Rain,AFLB2,0.0394432507455349,0.03332481160759926,0.02203964255750179,0.126993253827095,15424.974609375,1929.61279296875,-0.001478143851272762,0.03832854703068733,2711.830810546875
R044,Rain,AFLB3,0.4999221861362457,4.570897363009863e-05,0.4999875128269196,8.685093052918091e-05,39.77200317382812,5.785826147075568e-07,0.001128774369135499,0.01094937603920698,446.6550903320312
R045,Rain,AFLB1,0.005710003431886435,0.01515451818704605,0.08068255335092545,0.2714509069919586,49590.44140625,1142.997192382812,0.0003261527162976563,0.03143629059195518,910.8602905273438
R045,Rain,AFLB2,0.04845384508371353,0.03576206415891647,0.0240221694111824,0.125566765666008,14869.0166015625,1975.367431640625,-0.00203549861907959,0.03328190371394157,2049.322021484375
R045,Rain,AFLB3,0.4999134242534637,4.850493860431015e-05,0.4999898672103882,7.527963316533715e-05,39.52676391601562,6.383079380611889e-07,0.00100177840795368,0.01011934783309698,381.1913146972656
R046,Rain,AFLB1,0.0021188969258219,0.006389408838003874,0.08068923652172089,0.2718091309070587,53853.64453125,653.6798095703125,9.823706204770133e-05,0.04164824262261391,1598.594482421875
R046,Rain,AFLB2,0.02778590843081474,0.03006710112094879,0.02129251323640347,0.1275184601545334,15692.296875,1210.399291992188,-0.002313686767593026,0.03833374753594398,2718.4052734375
R046,Rain,AFLB3,0.499911904335022,5.060391777078621e-05,0.4999886453151703,7.959393406054005e-05,39.64148330688477,5.927801680627454e-07,0.001503328210674226,0.01131739653646946,480.4981689453125
R047,Rain,AFLB1,0.001353226252831519,0.006295398809015751,0.08247699588537216,0.26556196808815,31137.896484375,194.8955688476562,-0.001411642413586378,0.03440777957439423,1092.914428710938
R047,Rain,AFLB2,0.03771107271313667,0.02950308658182621,0.02291741408407688,0.1277539134025574,24774.4765625,4593.525390625,-0.0009857544209808111,0.03292417898774147,1999.822998046875
R047,Rain,AFLB3,0.4999253451824188,5.264383798930794e-05,0.4999886453151703,8.173337118932977e-05,39.75881195068359,5.49294213669782e-07,0.0009879657300189137,0.009873243048787117,362.9519653320312
R048,Rain,AFLB1,0.003437432460486889,0.0107922600582242,0.08095693588256836,0.2702385485172272,54270.41015625,455.6659545898438,0.0001454664306947961,0.03791218250989914,1324.666137695312
R048,Rain,AFLB2,0.03740229085087776,0.02645375765860081,0.02158685587346554,0.1279881745576859,21987.736328125,4187.013671875,-0.0007418927852995694,0.03286116197705269,1991.405029296875
R048,Rain,AFLB3,0.4999181032180786,4.613542841980234e-05,0.4999874532222748,8.876922947820276e-05,39.6879768371582,6.557017400155019e-07,0.000960334378760308,0.009900943376123905,364.772705078125
R049,Rain,AFLB1,0.001309763989411294,0.00584404869005084,0.08069422841072083,0.2716905176639557,76470.890625,789.9246215820312,-0.0001095061961677857,0.03683264926075935,1250.294067382812
R049,Rain,AFLB2,0.05801070481538773,0.03959158435463905,0.02047061361372471,0.1272232383489609,13330.9873046875,1375.619384765625,-0.0007107018027454615,0.0297407191246748,1631.260375976562
R049,Rain,AFLB3,0.4999123215675354,4.688329136115499e-05,0.4999904632568359,6.905290501890704e-05,39.67812347412109,6.547817292812397e-07,0.001157313818112016,0.009606070816516876,345.10595703125
